index,cwe key word,matched key word,file,func,hunk,function_name,note,repo,branch,url,testcase
21,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},3(2),1,3,"[None, None, None]",,keycloak,['remotes/origin/release/20.0'],https://github.com/keycloak/keycloak/commit/30d0e9d22dae51392e5a3748a1c68c116667359a,"{'KeycloakConfigSourceProvider.java': 0, 'QuarkusPlatform.java': 0, 'GzipResourceEncodingProviderFactory.java': 0, 'DirExportProvider.java': 0, 'DirImportProvider.java': 0, 'PlatformProvider.java': 0, 'ThemeResourceProviderTest.java': 0, 'KeycloakServer.java': 0, 'TestPlatform.java': 0, 'WildflyPlatform.java': 0, 'ThemeResourceProvider': 1, 'Platform': 1}"
22,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},9(5),1,7,"[None, None, None, None, None, None, None]",,eclipse.jdt.core,"['master', 'remotes/origin/BETA_JAVA21', 'remotes/origin/BETA_JAVA22', 'remotes/origin/BETA_JAVA23', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/master', 'remotes/origin/revert-1837-master', 'remotes/origin/update_R4.34']",https://github.com/eclipse-jdt/eclipse.jdt.core/commit/38dd2a878f45cdb3d8d52090f1d6d1b532fd4c4d,"{'FactoryPathUtil.java': 0, 'XMLComparer.java': 0, 'XMLConverter.java': 0, 'NegativeModelProc.java': 0, 'TableBuilder.java': 0, 'DecodeCodeFormatterPreferences.java': 0, 'JavaModelManager.java': 0, 'JavaProject.java': 0, 'UserLibrary.java': 0}"
23,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},9(5),1,7,"[None, None, None, None, None, None, None]",,eclipse.jdt.core,"['master', 'remotes/origin/BETA_JAVA21', 'remotes/origin/BETA_JAVA22', 'remotes/origin/BETA_JAVA23', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/master', 'remotes/origin/revert-1837-master', 'remotes/origin/update_R4.34']",https://github.com/eclipse-jdt/eclipse.jdt.core/commit/38dd2a878f45cdb3d8d52090f1d6d1b532fd4c4d,"{'FactoryPathUtil.java': 0, 'XMLComparer.java': 0, 'XMLConverter.java': 0, 'NegativeModelProc.java': 0, 'TableBuilder.java': 0, 'DecodeCodeFormatterPreferences.java': 0, 'JavaModelManager.java': 0, 'JavaProject.java': 0, 'UserLibrary.java': 0}"
24,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},3(1),1,1,['getDocument'],,eclipse.platform.swt,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/edge-focus', 'remotes/origin/edge-menu-displaycoordinates', 'remotes/origin/master']",https://github.com/eclipse-platform/eclipse.platform.swt/commit/bf71db5ddcb967c0863dad4745367b54f49e06ba,{'MacGenerator.java': 0}
25,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
26,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
27,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
28,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
29,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
30,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},57(11),5,30,"['load', None, None, None, None, None, 'parseInputStream', 'parseInputStream', None, None, None, None, None, None, None, None, None, None, 'transformDocument', 'transformDocument', 'transformDocument', 'transformDocument', 'getDom', 'getDom', None, None, None, None, None, None]",,eclipse.platform.ui,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/R4_29_maintenance', 'remotes/origin/R4_30_maintenance', 'remotes/origin/R4_31_maintenance', 'remotes/origin/R4_32_maintenance', 'remotes/origin/R4_33_maintenance', 'remotes/origin/flashy-cancel-dialog-during-shutdown', 'remotes/origin/master', 'remotes/origin/model-editor-has-search-enabled', 'remotes/origin/stackrenderer-test-reset-after-each-test']",https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd,"{'DialogSettings.java': 0, 'XmlProcessorFactoryJFace.java': 0, 'TemplateReaderWriter.java': 0, 'FormTextModel.java': 0, 'WelcomeEditor.java': 0, 'WelcomeParser.java': 0, 'XMLMemento.java': 0, 'PlistFileWriter.java': 0, 'PluginWalkerTest.java': 0, 'DocUtil.java': 0, 'ListTab.java': 0, 'TargetPlatformContributionCollector.java': 0, 'PluginWalker': 1}"
